latitude,longitude
39.2296,-112.3526
39.2295,-112.3527
39.2294,-112.3527
39.2294,-112.3527
39.2295,-112.3528
39.2295,-112.353
39.2295,-112.3531
39.2294,-112.3534
39.2293,-112.3535
39.2292,-112.3535
39.2292,-112.3535
39.2292,-112.3536
39.2293,-112.3537
39.2293,-112.3539
39.2293,-112.354
39.2292,-112.354
39.2292,-112.3541
39.2291,-112.3541
39.2291,-112.3541
39.2291,-112.3542
39.2291,-112.3543
39.2291,-112.3545
39.229,-112.3548
39.229,-112.3549
39.2289,-112.3548
39.2289,-112.3549
39.2289,-112.355
39.229,-112.3555
39.2289,-112.3557
39.2289,-112.3558
39.2288,-112.3559
39.2288,-112.356
39.2288,-112.3561
39.2289,-112.3563
39.229,-112.3565
39.229,-112.3566
39.2289,-112.3568
39.2289,-112.3569
39.2289,-112.357
39.229,-112.3572
39.2291,-112.3573
39.2292,-112.3574
39.2293,-112.3576
39.2294,-112.3577
39.2294,-112.3578
39.2294,-112.3577
39.2294,-112.3578
39.2295,-112.3579
39.2294,-112.3581
39.2294,-112.3582
39.2295,-112.3584
39.2296,-112.3585
39.2295,-112.3587
39.2295,-112.3587
39.2295,-112.3588
39.2293,-112.3588
39.2293,-112.359
39.2293,-112.3591
39.2295,-112.3591
39.2296,-112.3591
39.2297,-112.3592
39.2296,-112.3594
39.2296,-112.3596
39.2296,-112.36
39.2297,-112.3602
39.2298,-112.3602
39.2298,-112.3602
39.2297,-112.3602
39.2296,-112.3604
39.2295,-112.3605
39.2296,-112.3607
39.2296,-112.3608
39.2297,-112.3608
39.2296,-112.3608
39.2295,-112.3609
39.2295,-112.361
39.2295,-112.3612
39.2296,-112.3614
39.2297,-112.3615
39.2298,-112.3616
39.2298,-112.3617
39.2297,-112.3618
39.2296,-112.362
39.2297,-112.3621
39.2298,-112.3623
39.2299,-112.3624
39.2299,-112.3623
39.2299,-112.3624
39.2299,-112.3625
39.2299,-112.3626
39.2299,-112.3629
39.23,-112.363
39.2301,-112.3632
39.2301,-112.3633
39.2301,-112.3633
39.23,-112.3634
39.23,-112.3636
39.23,-112.3637
39.2303,-112.364
39.2303,-112.3641
39.2303,-112.3641
39.2303,-112.3642
39.2302,-112.3644
39.2301,-112.3645
39.2301,-112.3646
39.2302,-112.3647
39.2303,-112.3647
39.2304,-112.3646
39.2305,-112.3649
39.2305,-112.3651
39.2306,-112.3652
39.2304,-112.3654
39.2305,-112.3655
39.2304,-112.3655
39.2305,-112.3657
39.2307,-112.3658
39.2308,-112.366
39.2308,-112.3662
39.2307,-112.3663
39.2307,-112.3663
39.2307,-112.3663
39.2307,-112.3664
39.2308,-112.3665
39.2309,-112.3666
39.2309,-112.3668
39.2309,-112.3669
39.2309,-112.3669
39.231,-112.3668
39.231,-112.3668
39.2311,-112.3668
39.2312,-112.3669
39.2313,-112.3671
39.2312,-112.3672
39.2312,-112.3672
39.2312,-112.3672
39.2313,-112.3673
39.2313,-112.3675
39.2314,-112.3676
39.2313,-112.3678
39.2312,-112.3681
39.2311,-112.368
39.2311,-112.3681
39.2311,-112.3681
39.2312,-112.3683
39.2312,-112.3685
39.2312,-112.3687
39.2311,-112.3689
39.231,-112.369
39.2309,-112.369
39.2309,-112.369
39.2309,-112.3691
39.2309,-112.3692
39.2309,-112.3694
39.2308,-112.3695
39.2308,-112.3696
39.2307,-112.3697
39.2307,-112.3698
39.2307,-112.3699
39.2307,-112.37
39.2306,-112.37
39.2306,-112.3701
39.2305,-112.3703
39.2304,-112.3705
39.2303,-112.3706
39.2303,-112.3708
39.2303,-112.371
39.2301,-112.3713
39.2302,-112.3717
39.2302,-112.3719
39.23,-112.3721
39.2295,-112.3725
39.2294,-112.3725
39.2295,-112.3725
39.2296,-112.3727
39.2296,-112.3727
39.2296,-112.3727
39.2296,-112.3728
39.2295,-112.373
39.2294,-112.3731
39.2294,-112.3733
