time_bucket_2_accel,x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
402,0.76,1.39,-9.69,509
403,0.8,1.32,-9.69,509
404,0.76,1.39,-9.69,509
405,0.76,1.39,-9.69,509
406,0.8,1.43,-9.77,509
407,0.76,1.39,-9.66,509
408,0.73,1.39,-9.73,509
409,0.8,1.39,-9.73,509
410,0.76,1.47,-9.58,509
411,0.76,1.43,-9.73,509
412,0.8,1.39,-9.66,509
413,0.73,1.39,-9.69,509
414,0.8,1.43,-9.69,509
415,0.76,1.43,-9.73,509
416,0.8,1.32,-9.62,509
417,0.76,1.43,-9.73,509
418,0.76,1.39,-9.73,509
419,0.76,1.39,-9.62,509
420,0.8,1.39,-9.66,509
421,0.76,1.43,-9.62,509
422,0.8,1.39,-9.69,509
423,0.76,1.39,-9.69,509
424,0.8,1.43,-9.77,509
425,0.8,1.43,-9.69,509
426,0.73,1.39,-9.62,509
427,0.73,1.43,-9.69,509
429,0.76,1.43,-9.66,509
430,0.76,1.43,-9.69,509
431,0.76,1.43,-9.66,509
432,0.84,1.35,-9.69,509
433,0.76,1.43,-9.66,509
434,0.76,1.39,-9.62,509
435,0.76,1.35,-9.66,509
436,0.73,1.43,-9.69,509
437,0.8,1.43,-9.66,509
438,0.76,1.43,-9.69,509
439,0.76,1.39,-9.66,509
440,0.76,1.43,-9.66,509
441,0.8,1.39,-9.69,509
442,0.76,1.43,-9.69,509
443,0.8,1.39,-9.73,509
444,0.8,1.43,-9.66,509
445,0.76,1.43,-9.58,509
446,0.76,1.39,-9.62,509
447,0.76,1.43,-9.66,509
448,0.73,1.43,-9.66,509
449,0.8,1.39,-9.46,509
450,0.76,1.43,-9.62,509
451,0.76,1.43,-9.69,509
452,0.73,1.47,-9.66,509
453,0.76,1.43,-9.58,509
454,0.76,1.43,-9.66,509
455,0.73,1.47,-9.66,509
456,0.8,1.39,-9.66,509
457,0.8,1.39,-9.66,509
458,0.76,1.43,-9.66,509
459,0.76,1.39,-9.66,509
460,0.76,1.39,-9.66,509
461,0.73,1.43,-9.62,509
462,0.76,1.43,-9.58,509
463,0.76,1.39,-9.62,509
464,0.8,1.39,-9.62,509
465,0.76,1.47,-9.62,509
466,0.84,1.35,-9.69,509
467,0.84,1.39,-9.54,509
469,0.8,-4.28,-8.61,509
470,0.88,-4.96,-8.38,509
471,0.88,-5.37,-8.03,510
472,0.84,-5.37,-7.95,509
473,0.99,-2.03,-10,509
474,0.84,-6.12,-7.45,509
475,0.91,-5.78,-7.61,509
476,0.62,-1.65,-8.96,509
477,0.69,-0.37,-9,509
478,0.69,0.6,-9.5,509
479,0.73,1.39,-9.62,509
480,0.8,1.47,-9.58,509
481,0.73,1.43,-9.62,509
482,0.76,1.39,-9.58,509
483,0.76,1.5,-9.62,509
484,0.73,1.43,-9.66,509
485,0.76,1.43,-9.62,509
486,0.69,1.5,-9.66,509
487,0.8,1.43,-9.66,509
488,0.73,1.47,-9.58,509
489,0.76,1.39,-9.69,509
490,0.76,1.47,-9.62,509
491,0.76,1.43,-9.66,509
492,0.76,1.47,-9.81,509
493,0.76,1.43,-9.66,509
494,0.76,1.43,-9.69,509
495,0.73,1.39,-9.66,509
496,0.76,1.39,-9.62,509
497,0.73,1.39,-9.58,509
498,0.8,1.43,-9.66,509
499,0.76,1.35,-9.62,509
500,0.76,1.43,-9.69,509
501,0.76,1.47,-9.69,509
502,0.76,1.39,-9.66,509
503,0.8,1.43,-9.66,509
504,0.73,1.47,-9.85,509
505,0.76,1.43,-9.66,509
506,0.76,1.39,-9.73,509
507,0.76,1.47,-9.69,509
508,0.73,1.35,-9.66,509
510,0.76,1.32,-9.58,509
511,0.73,1.47,-9.62,509
512,0.8,1.39,-9.58,509
513,0.8,1.43,-9.5,509
514,0.73,1.47,-9.54,509
515,0.76,1.47,-9.5,509
516,0.76,1.47,-9.5,509
517,0.8,1.39,-9.58,509
518,0.73,1.43,-9.58,509
519,0.76,1.47,-9.5,509
520,0.76,1.47,-9.46,509
521,0.76,1.43,-9.62,509
522,0.76,1.39,-9.42,509
523,0.76,1.47,-9.54,509
524,0.76,1.47,-9.5,509
525,0.73,1.47,-9.58,509
526,0.8,1.39,-9.54,509
527,0.73,1.43,-9.58,509
528,0.73,1.43,-9.58,509
529,0.73,1.43,-9.54,509
530,0.76,1.43,-9.58,509
531,0.76,1.47,-9.62,509
532,0.73,1.43,-9.62,509
533,0.73,1.43,-9.54,509
534,0.8,1.43,-9.62,509
535,0.76,1.43,-9.62,509
536,0.8,1.43,-9.66,509
537,0.8,1.39,-9.62,509
538,0.76,1.39,-9.62,509
539,0.76,1.35,-9.58,509
540,0.76,1.43,-9.85,509
541,0.76,1.39,-9.66,509
542,0.73,1.47,-9.66,509
543,0.8,1.43,-9.77,509
544,0.76,1.43,-9.58,509
545,0.76,1.43,-9.66,509
546,0.76,1.47,-9.62,509
547,0.76,1.39,-9.66,509
548,0.8,1.43,-9.62,509
549,0.76,1.43,-9.66,509
551,0.8,1.47,-9.73,509
552,0.76,1.43,-9.58,509
553,0.8,1.39,-9.58,509
554,0.76,1.47,-9.62,509
555,0.76,1.43,-9.62,509
556,0.76,1.43,-9.62,509
